Country Name,Year,GDP_Per_Capita,Development_Score,Development_Level
Afghanistan,2025,344.74,31.42,Underdeveloped
Afghanistan,2026,322.23,32.15,Underdeveloped
Afghanistan,2027,299.71,32.88,Underdeveloped
Afghanistan,2028,277.2,33.61,Underdeveloped
Afghanistan,2029,254.68,34.34,Underdeveloped
Afghanistan,2030,232.16,35.07,Underdeveloped
Afghanistan,2031,209.65,35.81,Underdeveloped
Afghanistan,2032,187.13,36.54,Underdeveloped
Afghanistan,2033,164.62,37.27,Underdeveloped
Afghanistan,2034,142.1,38.0,Underdeveloped
Afghanistan,2035,119.59,38.73,Underdeveloped
Afghanistan,2036,97.07,39.46,Underdeveloped
Afghanistan,2037,74.56,40.19,Developing
Afghanistan,2038,52.04,40.92,Developing
Afghanistan,2039,29.53,41.66,Developing
Afghanistan,2040,7.01,42.39,Developing
Albania,2025,10389.84,65.71,Developing
Albania,2026,11022.08,67.01,Developing
Albania,2027,11654.32,68.32,Developing
Albania,2028,12286.56,69.63,Developing
Albania,2029,12918.8,70.94,Highly Developed
Albania,2030,13551.05,72.24,Highly Developed
Albania,2031,14183.29,73.55,Highly Developed
Albania,2032,14815.53,74.86,Highly Developed
Albania,2033,15447.77,76.17,Highly Developed
Albania,2034,16080.02,77.47,Highly Developed
Albania,2035,16712.26,78.78,Highly Developed
Albania,2036,17344.5,80.09,Highly Developed
Albania,2037,17976.74,81.4,Highly Developed
Albania,2038,18608.98,82.7,Highly Developed
Albania,2039,19241.23,84.01,Highly Developed
Albania,2040,19873.47,85.32,Highly Developed
Algeria,2025,4854.84,61.28,Developing
Algeria,2026,4864.09,62.77,Developing
Algeria,2027,4873.34,64.27,Developing
Algeria,2028,4882.59,65.76,Developing
Algeria,2029,4891.83,67.26,Developing
Algeria,2030,4901.08,68.75,Developing
Algeria,2031,4910.33,70.24,Highly Developed
Algeria,2032,4919.58,71.74,Highly Developed
Algeria,2033,4928.82,73.23,Highly Developed
Algeria,2034,4938.07,74.73,Highly Developed
Algeria,2035,4947.32,76.22,Highly Developed
Algeria,2036,4956.57,77.72,Highly Developed
Algeria,2037,4965.81,79.21,Highly Developed
Algeria,2038,4975.06,80.71,Highly Developed
Algeria,2039,4984.31,82.2,Highly Developed
Algeria,2040,4993.56,83.7,Highly Developed
Andorra,2025,45776.5,72.81,Highly Developed
Andorra,2026,46341.95,73.04,Highly Developed
Andorra,2027,46907.39,73.27,Highly Developed
Andorra,2028,47472.84,73.5,Highly Developed
Andorra,2029,48038.29,73.73,Highly Developed
Andorra,2030,48603.74,73.96,Highly Developed
Andorra,2031,49169.18,74.2,Highly Developed
Andorra,2032,49734.63,74.43,Highly Developed
Andorra,2033,50300.08,74.66,Highly Developed
Andorra,2034,50865.53,74.89,Highly Developed
Andorra,2035,51430.97,75.12,Highly Developed
Andorra,2036,51996.42,75.35,Highly Developed
Andorra,2037,52561.87,75.58,Highly Developed
Andorra,2038,53127.32,75.81,Highly Developed
Andorra,2039,53692.76,76.04,Highly Developed
Andorra,2040,54258.21,76.27,Highly Developed
Angola,2025,2164.74,42.78,Developing
Angola,2026,2028.33,44.11,Developing
Angola,2027,1891.93,45.43,Developing
Angola,2028,1755.52,46.75,Developing
Angola,2029,1619.11,48.07,Developing
Angola,2030,1482.7,49.4,Developing
Angola,2031,1346.29,50.72,Developing
Angola,2032,1209.89,52.04,Developing
Angola,2033,1073.48,53.36,Developing
Angola,2034,937.07,54.68,Developing
Angola,2035,800.66,56.01,Developing
Angola,2036,664.25,57.33,Developing
Angola,2037,527.84,58.65,Developing
Angola,2038,391.44,59.97,Developing
Angola,2039,255.03,61.3,Developing
Angola,2040,118.62,62.62,Developing
Antigua and Barbuda,2025,22027.12,61.17,Developing
Antigua and Barbuda,2026,22665.54,61.37,Developing
Antigua and Barbuda,2027,23303.96,61.58,Developing
Antigua and Barbuda,2028,23942.39,61.78,Developing
Antigua and Barbuda,2029,24580.81,61.99,Developing
Antigua and Barbuda,2030,25219.23,62.19,Developing
Antigua and Barbuda,2031,25857.65,62.4,Developing
Antigua and Barbuda,2032,26496.07,62.6,Developing
Antigua and Barbuda,2033,27134.49,62.8,Developing
Antigua and Barbuda,2034,27772.91,63.01,Developing
Antigua and Barbuda,2035,28411.33,63.21,Developing
Antigua and Barbuda,2036,29049.76,63.42,Developing
Antigua and Barbuda,2037,29688.18,63.62,Developing
Antigua and Barbuda,2038,30326.6,63.83,Developing
Antigua and Barbuda,2039,30965.02,64.03,Developing
Antigua and Barbuda,2040,31603.44,64.23,Developing
Argentina,2025,12610.64,59.9,Developing
Argentina,2026,12646.93,60.16,Developing
Argentina,2027,12683.23,60.41,Developing
Argentina,2028,12719.53,60.66,Developing
Argentina,2029,12755.82,60.92,Developing
Argentina,2030,12792.12,61.17,Developing
Argentina,2031,12828.41,61.43,Developing
Argentina,2032,12864.71,61.68,Developing
Argentina,2033,12901.01,61.93,Developing
Argentina,2034,12937.3,62.19,Developing
Argentina,2035,12973.6,62.44,Developing
Argentina,2036,13009.9,62.69,Developing
Argentina,2037,13046.19,62.95,Developing
Argentina,2038,13082.49,63.2,Developing
Argentina,2039,13118.78,63.45,Developing
Argentina,2040,13155.08,63.71,Developing
Armenia,2025,7960.48,63.53,Developing
Armenia,2026,8441.89,64.77,Developing
Armenia,2027,8923.29,66.0,Developing
Armenia,2028,9404.7,67.24,Developing
Armenia,2029,9886.11,68.48,Developing
Armenia,2030,10367.52,69.71,Developing
Armenia,2031,10848.92,70.95,Highly Developed
Armenia,2032,11330.33,72.19,Highly Developed
Armenia,2033,11811.74,73.42,Highly Developed
Armenia,2034,12293.15,74.66,Highly Developed
Armenia,2035,12774.55,75.9,Highly Developed
Armenia,2036,13255.96,77.13,Highly Developed
Armenia,2037,13737.37,78.37,Highly Developed
Armenia,2038,14218.78,79.61,Highly Developed
Armenia,2039,14700.18,80.84,Highly Developed
Armenia,2040,15181.59,82.08,Highly Developed
Australia,2025,63709.73,76.36,Highly Developed
Australia,2026,64567.89,76.97,Highly Developed
Australia,2027,65426.04,77.58,Highly Developed
Australia,2028,66284.2,78.19,Highly Developed
Australia,2029,67142.36,78.8,Highly Developed
Australia,2030,68000.51,79.41,Highly Developed
Australia,2031,68858.67,80.02,Highly Developed
Australia,2032,69716.82,80.63,Highly Developed
Australia,2033,70574.98,81.24,Highly Developed
Australia,2034,71433.14,81.85,Highly Developed
Australia,2035,72291.29,82.46,Highly Developed
Australia,2036,73149.45,83.07,Highly Developed
Australia,2037,74007.6,83.68,Highly Developed
Australia,2038,74865.76,84.29,Highly Developed
Australia,2039,75723.92,84.9,Highly Developed
Australia,2040,76582.07,85.52,Highly Developed
Austria,2025,57157.5,73.77,Highly Developed
Austria,2026,58227.9,74.16,Highly Developed
Austria,2027,59298.31,74.55,Highly Developed
Austria,2028,60368.71,74.94,Highly Developed
Austria,2029,61439.12,75.34,Highly Developed
Austria,2030,62509.52,75.73,Highly Developed
Austria,2031,63579.93,76.12,Highly Developed
Austria,2032,64650.34,76.51,Highly Developed
Austria,2033,65720.74,76.91,Highly Developed
Austria,2034,66791.15,77.3,Highly Developed
Austria,2035,67861.55,77.69,Highly Developed
Austria,2036,68931.96,78.09,Highly Developed
Austria,2037,70002.36,78.48,Highly Developed
Austria,2038,71072.77,78.87,Highly Developed
Austria,2039,72143.17,79.26,Highly Developed
Austria,2040,73213.58,79.66,Highly Developed
Azerbaijan,2025,6645.11,63.39,Developing
Azerbaijan,2026,6801.26,63.7,Developing
Azerbaijan,2027,6957.41,64.01,Developing
Azerbaijan,2028,7113.57,64.32,Developing
Azerbaijan,2029,7269.72,64.63,Developing
Azerbaijan,2030,7425.87,64.94,Developing
Azerbaijan,2031,7582.02,65.26,Developing
Azerbaijan,2032,7738.17,65.57,Developing
Azerbaijan,2033,7894.32,65.88,Developing
Azerbaijan,2034,8050.48,66.19,Developing
Azerbaijan,2035,8206.63,66.5,Developing
Azerbaijan,2036,8362.78,66.81,Developing
Azerbaijan,2037,8518.93,67.12,Developing
Azerbaijan,2038,8675.08,67.44,Developing
Azerbaijan,2039,8831.23,67.75,Developing
Azerbaijan,2040,8987.39,68.06,Developing
Bahrain,2025,29986.65,74.58,Highly Developed
Bahrain,2026,30541.1,75.09,Highly Developed
Bahrain,2027,31095.55,75.6,Highly Developed
Bahrain,2028,31650.0,76.11,Highly Developed
Bahrain,2029,32204.44,76.62,Highly Developed
Bahrain,2030,32758.89,77.13,Highly Developed
Bahrain,2031,33313.34,77.65,Highly Developed
Bahrain,2032,33867.79,78.16,Highly Developed
Bahrain,2033,34422.23,78.67,Highly Developed
Bahrain,2034,34976.68,79.18,Highly Developed
Bahrain,2035,35531.13,79.69,Highly Developed
Bahrain,2036,36085.58,80.21,Highly Developed
Bahrain,2037,36640.02,80.72,Highly Developed
Bahrain,2038,37194.47,81.23,Highly Developed
Bahrain,2039,37748.92,81.74,Highly Developed
Bahrain,2040,38303.37,82.25,Highly Developed
Bangladesh,2025,3004.08,52.83,Developing
Bangladesh,2026,3164.36,55.36,Developing
Bangladesh,2027,3324.63,57.89,Developing
Bangladesh,2028,3484.9,60.42,Developing
Bangladesh,2029,3645.17,62.95,Developing
Bangladesh,2030,3805.45,65.48,Developing
Bangladesh,2031,3965.72,68.01,Developing
Bangladesh,2032,4125.99,70.54,Highly Developed
Bangladesh,2033,4286.27,73.07,Highly Developed
Bangladesh,2034,4446.54,75.6,Highly Developed
Bangladesh,2035,4606.81,78.13,Highly Developed
Bangladesh,2036,4767.09,80.66,Highly Developed
Bangladesh,2037,4927.36,83.2,Highly Developed
Bangladesh,2038,5087.63,85.73,Highly Developed
Bangladesh,2039,5247.91,88.26,Highly Developed
Bangladesh,2040,5408.18,90.79,Highly Developed
Barbados,2025,25429.7,59.52,Developing
Barbados,2026,26012.22,59.6,Developing
Barbados,2027,26594.74,59.68,Developing
Barbados,2028,27177.26,59.76,Developing
Barbados,2029,27759.78,59.83,Developing
Barbados,2030,28342.3,59.91,Developing
Barbados,2031,28924.82,59.99,Developing
Barbados,2032,29507.34,60.07,Developing
Barbados,2033,30089.86,60.15,Developing
Barbados,2034,30672.38,60.23,Developing
Barbados,2035,31254.9,60.3,Developing
Barbados,2036,31837.42,60.38,Developing
Barbados,2037,32419.94,60.46,Developing
Barbados,2038,33002.46,60.54,Developing
Barbados,2039,33584.98,60.62,Developing
Barbados,2040,34167.5,60.69,Developing
Belarus,2025,8055.16,70.11,Highly Developed
Belarus,2026,8237.49,71.28,Highly Developed
Belarus,2027,8419.82,72.44,Highly Developed
Belarus,2028,8602.15,73.61,Highly Developed
Belarus,2029,8784.48,74.78,Highly Developed
Belarus,2030,8966.81,75.94,Highly Developed
Belarus,2031,9149.14,77.11,Highly Developed
Belarus,2032,9331.47,78.28,Highly Developed
Belarus,2033,9513.79,79.45,Highly Developed
Belarus,2034,9696.12,80.61,Highly Developed
Belarus,2035,9878.45,81.78,Highly Developed
Belarus,2036,10060.78,82.95,Highly Developed
Belarus,2037,10243.11,84.12,Highly Developed
Belarus,2038,10425.44,85.28,Highly Developed
Belarus,2039,10607.77,86.45,Highly Developed
Belarus,2040,10790.09,87.62,Highly Developed
Belgium,2025,55765.59,75.0,Highly Developed
Belgium,2026,57043.8,75.65,Highly Developed
Belgium,2027,58322.01,76.31,Highly Developed
Belgium,2028,59600.22,76.96,Highly Developed
Belgium,2029,60878.43,77.61,Highly Developed
Belgium,2030,62156.64,78.26,Highly Developed
Belgium,2031,63434.85,78.92,Highly Developed
Belgium,2032,64713.06,79.57,Highly Developed
Belgium,2033,65991.27,80.22,Highly Developed
Belgium,2034,67269.48,80.87,Highly Developed
Belgium,2035,68547.69,81.53,Highly Developed
Belgium,2036,69825.9,82.18,Highly Developed
Belgium,2037,71104.11,82.83,Highly Developed
Belgium,2038,72382.32,83.48,Highly Developed
Belgium,2039,73660.53,84.14,Highly Developed
Belgium,2040,74938.74,84.79,Highly Developed
Belize,2025,7203.0,59.15,Developing
Belize,2026,7339.34,60.44,Developing
Belize,2027,7475.68,61.73,Developing
Belize,2028,7612.01,63.02,Developing
Belize,2029,7748.35,64.31,Developing
Belize,2030,7884.69,65.6,Developing
Belize,2031,8021.02,66.89,Developing
Belize,2032,8157.36,68.18,Developing
Belize,2033,8293.7,69.47,Developing
Belize,2034,8430.03,70.76,Highly Developed
Belize,2035,8566.37,72.05,Highly Developed
Belize,2036,8702.71,73.34,Highly Developed
Belize,2037,8839.04,74.63,Highly Developed
Belize,2038,8975.38,75.92,Highly Developed
Belize,2039,9111.72,77.21,Highly Developed
Belize,2040,9248.05,78.5,Highly Developed
Benin,2025,1437.18,32.47,Underdeveloped
Benin,2026,1476.41,32.94,Underdeveloped
Benin,2027,1515.64,33.4,Underdeveloped
Benin,2028,1554.87,33.87,Underdeveloped
Benin,2029,1594.1,34.34,Underdeveloped
Benin,2030,1633.34,34.8,Underdeveloped
Benin,2031,1672.57,35.27,Underdeveloped
Benin,2032,1711.8,35.73,Underdeveloped
Benin,2033,1751.03,36.2,Underdeveloped
Benin,2034,1790.26,36.66,Underdeveloped
Benin,2035,1829.49,37.13,Underdeveloped
Benin,2036,1868.72,37.59,Underdeveloped
Benin,2037,1907.95,38.06,Underdeveloped
Benin,2038,1947.18,38.53,Underdeveloped
Benin,2039,1986.42,38.99,Underdeveloped
Benin,2040,2025.65,39.46,Underdeveloped
Bhutan,2025,3963.54,65.41,Developing
Bhutan,2026,4055.88,67.37,Developing
Bhutan,2027,4148.22,69.32,Developing
Bhutan,2028,4240.56,71.27,Highly Developed
Bhutan,2029,4332.9,73.22,Highly Developed
Bhutan,2030,4425.24,75.17,Highly Developed
Bhutan,2031,4517.58,77.12,Highly Developed
Bhutan,2032,4609.92,79.08,Highly Developed
Bhutan,2033,4702.26,81.03,Highly Developed
Bhutan,2034,4794.6,82.98,Highly Developed
Bhutan,2035,4886.94,84.93,Highly Developed
Bhutan,2036,4979.28,86.88,Highly Developed
Bhutan,2037,5071.62,88.83,Highly Developed
Bhutan,2038,5163.96,90.78,Highly Developed
Bhutan,2039,5256.3,92.74,Highly Developed
Bhutan,2040,5348.65,94.69,Highly Developed
Bolivia,2025,4632.42,55.27,Developing
Bolivia,2026,4767.54,56.64,Developing
Bolivia,2027,4902.66,58.02,Developing
Bolivia,2028,5037.77,59.39,Developing
Bolivia,2029,5172.89,60.76,Developing
Bolivia,2030,5308.01,62.13,Developing
Bolivia,2031,5443.13,63.5,Developing
Bolivia,2032,5578.25,64.87,Developing
Bolivia,2033,5713.37,66.24,Developing
Bolivia,2034,5848.49,67.62,Developing
Bolivia,2035,5983.6,68.99,Developing
Bolivia,2036,6118.72,70.36,Highly Developed
Bolivia,2037,6253.84,71.73,Highly Developed
Bolivia,2038,6388.96,73.1,Highly Developed
Bolivia,2039,6524.08,74.47,Highly Developed
Bolivia,2040,6659.2,75.84,Highly Developed
Bosnia and Herzegovina,2025,9161.25,64.3,Developing
Bosnia and Herzegovina,2026,9606.07,65.72,Developing
Bosnia and Herzegovina,2027,10050.9,67.14,Developing
Bosnia and Herzegovina,2028,10495.72,68.56,Developing
Bosnia and Herzegovina,2029,10940.55,69.99,Developing
Bosnia and Herzegovina,2030,11385.38,71.41,Highly Developed
Bosnia and Herzegovina,2031,11830.2,72.83,Highly Developed
Bosnia and Herzegovina,2032,12275.03,74.25,Highly Developed
Bosnia and Herzegovina,2033,12719.85,75.68,Highly Developed
Bosnia and Herzegovina,2034,13164.68,77.1,Highly Developed
Bosnia and Herzegovina,2035,13609.51,78.52,Highly Developed
Bosnia and Herzegovina,2036,14054.33,79.94,Highly Developed
Bosnia and Herzegovina,2037,14499.16,81.37,Highly Developed
Bosnia and Herzegovina,2038,14943.99,82.79,Highly Developed
Bosnia and Herzegovina,2039,15388.81,84.21,Highly Developed
Bosnia and Herzegovina,2040,15833.64,85.63,Highly Developed
Botswana,2025,8043.66,50.02,Developing
Botswana,2026,8177.0,50.94,Developing
Botswana,2027,8310.34,51.87,Developing
Botswana,2028,8443.69,52.79,Developing
Botswana,2029,8577.03,53.71,Developing
Botswana,2030,8710.37,54.63,Developing
Botswana,2031,8843.71,55.56,Developing
Botswana,2032,8977.06,56.48,Developing
Botswana,2033,9110.4,57.4,Developing
Botswana,2034,9243.74,58.32,Developing
Botswana,2035,9377.08,59.25,Developing
Botswana,2036,9510.43,60.17,Developing
Botswana,2037,9643.77,61.09,Developing
Botswana,2038,9777.11,62.01,Developing
Botswana,2039,9910.45,62.93,Developing
Botswana,2040,10043.8,63.86,Developing
